id,key,1::English (United Kingdom),2::Dutch (Netherlands)
402,front_menu_step_3,Step 3 - Room Setup,Stap 3 - Ruimte indeling
403,front_menu_step_4,Step 4 - Food & Drinks,Stap 4 - Eten en drinken
404,front_menu_step_5,Step 5 - Checkout,Stap 5 - Afrekenen
405,front_menu_step_6,Step 6 - Confirmation,Stap 6 - Bevestiging
406,front_menu_step_7,Step 7 - Final,Stap 7 - Definitief
407,front_morning,Morning,Ochtend
408,front_name,Name,Naam
409,front_notes,Notes,Notieties
410,front_no_rooms_found,No rooms found.,Geen ruimte gevonden
411,front_order_by,Order by,Besteld door
412,front_params_missing,Missing parameters. Please check again,Ontbrekende parameters. Controleer het alstublieft opnieuw.
413,front_payment_method,Payment method,Betaalwijze
414,front_people,people,Personen
415,front_person,person,Persoon
416,front_personal_details,Personal details,Persoonlijke gegevens
417,front_per_day,per day,Per dag
418,front_per_hour,per hour,Per uur
419,front_per_person,per person,Per persoon
420,front_phone,Phone,Telefoon
421,front_price,Price,Prijs
422,front_processed_on,Processed on,Verwerkt op
423,front_room,Room,Ruimte
424,front_room_layout,Layout,Indeling
425,front_room_setup,Room Set-up,Ruimte indeling
426,front_select_slot_message,Please select at least one slot.,Selecteer ten minste ÈÈn slot
427,front_start_date,Start date,Startdatum en -tijd
428,front_state,State,Staat
429,front_subtotal,Sub-total,Subtotaal
430,front_tax,Tax,Belasting
431,front_terms_and_conditions,Terms and conditions,Algemene voorwaarden
432,front_terms_title,Terms and conditions,Algemene voorwaarden
433,front_title,Title,Titel
434,front_total,Total,Totaal
435,front_units,units,Eenheden
436,front_your_booking,Your booking,Uw reservering
437,front_your_details,Your Details,Uw gegevens
438,front_zip,Zip,Postcode
439,admin_sms_ARRAY_confirmation,Booking confirmation SMS,Reserveringsbevestiging via sms
440,admin_sms_ARRAY_payment,Payment confirmation SMS,Betalingsbevestiging via sms
441,booking_statuses_ARRAY_cancelled,Cancelled,Annulerings
442,booking_statuses_ARRAY_confirmed,Confirmed,Bevestigd
443,booking_statuses_ARRAY_pending,Pending,In behandeling
444,book_by_ARRAY_halfday,Half-day,Halve dag
445,book_by_ARRAY_hour,Hour,Uur
446,book_by_ARRAY_multiday,Multiple days,Meerdere dagen
447,buttons_ARRAY_cancel,Cancel,Annuleer pagina
448,buttons_ARRAY_delete,Delete,Verwijderen
449,buttons_ARRAY_send,Send,Verzenden
450,cancel_err_ARRAY_1,Missing parameters,Ontbrekende parameters
451,cancel_err_ARRAY_2,Booking with such ID does not exist.,Een reservering met dat ID bestaat niet.
452,cancel_err_ARRAY_200,The booking has been cancelled successfully.,De reservering is succesvol geannuleerd.
453,cancel_err_ARRAY_3,Security hash did not match.,De beveiligingshash kwam niet overeen.
454,cancel_err_ARRAY_4,Booking is already cancelled.,De reservering is reeds geannuleerd.
455,cc_types_ARRAY_AmericanExpress,AmericanExpress,AmericanExpress
456,cc_types_ARRAY_Maestro,Maestro,Maestro
457,cc_types_ARRAY_MasterCard,MasterCard,Mastercard
458,cc_types_ARRAY_Visa,Visa,Visa
459,client_email_ARRAY_cancel,Send cancellation email,Annuleringsmail verzenden
460,client_email_ARRAY_confirmation,New booking received email,Nieuwe reservering ontvangen via e-mail
461,client_email_ARRAY_payment,Send payment confirmation email,Stuur een e-mail met de betalingsbevestiging.
462,client_sms_ARRAY_confirmation,Booking confirmation SMS,Reserveringsbevestiging via sms
463,client_sms_ARRAY_payment,Payment confirmation SMS,Betalingsbevestiging via sms
464,days_ARRAY_0,Sunday,Zondag
465,days_ARRAY_1,Monday,Maandag
466,days_ARRAY_2,Tuesday,Dinsdag
467,days_ARRAY_3,Wednesday,Woensdag
468,days_ARRAY_4,Thursday,Donderdag
469,days_ARRAY_5,Friday,Vrijdag
470,days_ARRAY_6,Saturday,Zaterdag
471,day_names_ARRAY_0,S,Z
472,day_names_ARRAY_1,M,M
473,day_names_ARRAY_2,T,D
474,day_names_ARRAY_3,W,W
475,day_names_ARRAY_4,T,D
476,day_names_ARRAY_5,F,V
477,day_names_ARRAY_6,S,Z
478,day_short_names_ARRAY_0,Su,Zo
479,day_short_names_ARRAY_1,Mo,Ma
480,day_short_names_ARRAY_2,Tu,Di
481,day_short_names_ARRAY_3,We,Wo
482,day_short_names_ARRAY_4,Th,Do
483,day_short_names_ARRAY_5,Fr,Vr
484,day_short_names_ARRAY_6,Sa,Za
485,enum_arr_ARRAY_0,No,Nee
486,enum_arr_ARRAY_1,Yes,JA
487,enum_arr_ARRAY_2,Yes (required),Ja (verplicht)
488,enum_arr_ARRAY_cancelled,Cancelled,Geannuleerd
489,enum_arr_ARRAY_confirmed,Confirmed,Bevestigd
490,enum_arr_ARRAY_mail,PHP mail(),PHP mail()
491,enum_arr_ARRAY_No,No,Nee
492,enum_arr_ARRAY_pending,Pending,In behandeling
493,enum_arr_ARRAY_smtp,SMTP,SMTP
494,enum_arr_ARRAY_Yes,Yes,Ja
495,error_bodies_ARRAY_AA10,Given email address is not associated with any account.,Het opgegeven e-mailadres is niet gekoppeld aan een account.
496,error_bodies_ARRAY_AA11,For further instructions please check your mailbox.,Controleer uw mailbox voor verdere instructies.
497,error_bodies_ARRAY_AA12,"We are sorry, please try again later.","Het spijt ons, probeer het later nog eens."
498,error_bodies_ARRAY_AA13,All the changes made to your profile have been saved.,"Alle wijzigingen die je in je profiel hebt aangebracht, zijn opgeslagen."
499,error_bodies_ARRAY_AB01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc at ligula non arcu dignissim pretium. Praesent in magna nulla, in porta leo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc at ligula non arcu dignissim pretium. Praesent in magna nulla, in porta leo."
500,error_bodies_ARRAY_AB02,All backup files have been saved.,Alle back-upbestanden zijn opgeslagen.
501,error_bodies_ARRAY_AB03,No option was selected.,Er is geen optie geselecteerd.
502,error_bodies_ARRAY_AB04,Backup not performed.,Er is geen back-up gemaakt.
503,error_bodies_ARRAY_AEQ01,All changes to the equipment have been saved.,Alle wijzigingen aan de apparatuur zijn opgeslagen.
504,error_bodies_ARRAY_AEQ03,New equipment has been added to the system.,Er is nieuwe apparatuur aan het systeem toegevoegd.
505,error_bodies_ARRAY_AEQ04,The equipment could not be added successfully. Please try again.,Het apparaat kon niet succesvol worden toegevoegd. Probeer het opnieuw.
506,error_bodies_ARRAY_AEQ08,The equipment you are looking for is missing.,"De apparatuur waarnaar u op zoek bent, ontbreekt."
507,error_bodies_ARRAY_AFD01,All changes to food or drink have been saved.,Alle wijzigingen aan eten of drinken zijn opgeslagen.
508,error_bodies_ARRAY_AFD03,New food or drink has been added to the system.,Er is een nieuw voedings- of drankproduct aan het systeem toegevoegd.
509,error_bodies_ARRAY_AFD04,The food or drink could not be added successfully. Please try again.,Het toevoegen van eten of drinken is mislukt. Probeer het opnieuw.
510,error_bodies_ARRAY_AFD08,The food or drink you are looking for is missing.,"Het eten of drinken waarnaar u op zoek bent, is niet beschikbaar."
511,error_bodies_ARRAY_ALC01,All the changes you have just made were saved.,"Alle wijzigingen die u zojuist hebt aangebracht, zijn opgeslagen."
512,error_bodies_ARRAY_ALY01,All changes to the room layout have been saved.,Alle wijzigingen in de ruimte indeling zijn opgeslagen.
513,error_bodies_ARRAY_ALY03,New room layout has been added to the system.,Er is een nieuwe ruimte indeling aan het systeem toegevoegd.
514,error_bodies_ARRAY_ALY04,The room layout could not be added successfully. Please try again.,Het toevoegen van de ruimte indeling is mislukt. Probeer het opnieuw.
515,error_bodies_ARRAY_ALY05,"Room layout could not be added because image size is too large and your server cannot upload it. Maximum allowed size is {SIZE}. Please, upload smaller image.",De plattegrond kon niet worden toegevoegd omdat de afbeelding te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload alstublieft een kleinere afbeelding.
516,error_bodies_ARRAY_ALY06,"The room layout could not be updated successfully because image size is too large and your server cannot upload it. Maximum allowed size is {SIZE}. Please, upload smaller image.",De indeling van de ruimte kan niet succesvol worden bijgewerkt omdat de afbeeldingsgrootte te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload een kleinere afbeelding.
517,error_bodies_ARRAY_ALY08,The room layout you are looking for is missing.,De gewenste ruimte indeling ontbreekt.
518,error_bodies_ARRAY_ALY09,"Room layout was added, but image could not be uploaded because it is too large.","De plattegrond van de ruimte is toegevoegd, maar de afbeelding kon niet worden ge¸pload omdat deze te groot is."
519,error_bodies_ARRAY_ALY10,"Room layout has been updated, but image could not be uploaded because it is too large.","De plattegrond van de ruimte is bijgewerkt, maar de afbeelding kon niet worden ge¸pload omdat deze te groot is."
520,error_bodies_ARRAY_AO01,All the changes made to General Options have been saved.,Alle wijzigingen in Algemene opties zijn opgeslagen.
521,error_bodies_ARRAY_AO02,All changes made to the Booking options have been saved successfully.,Alle wijzigingen in de boekingsopties zijn succesvol opgeslagen.
522,error_bodies_ARRAY_AO03,All changes made to notifications have been saved successfully.,Alle wijzigingen in meldingen zijn succesvol opgeslagen.
523,error_bodies_ARRAY_AO04,All changes made to booking form have been saved successfully.,Alle wijzigingen in het reserveringsformulier zijn succesvol opgeslagen.
524,error_bodies_ARRAY_AO05,All changes made to Terms and Conditions have been saved successfully.,Alle wijzigingen in de Algemene Voorwaarden zijn succesvol opgeslagen.
525,error_bodies_ARRAY_AR01,All changes made to the booking have been updated.,Alle wijzigingen in de reservering zijn verwerkt.
526,error_bodies_ARRAY_AR03,New booking has been added into the system.,Er is een nieuwe reservering aan het systeem toegevoegd.
527,error_bodies_ARRAY_AR04,We are sorry that new booking could not be added successfully. Please try again.,Het spijt ons dat de nieuwe reservering niet succesvol kon worden toegevoegd. Probeer het alstublieft opnieuw.
528,error_bodies_ARRAY_AR08,We are sorry that booking you are looking for is missing.,Het spijt ons dat de reservering die u zoekt ontbreekt.
529,error_bodies_ARRAY_ARM01,All changes to the room have been saved.,Alle wijzigingen aan de ruimte zijn opgeslagen.
530,error_bodies_ARRAY_ARM03,New room has been added to the system.,Er is een nieuwe ruimte aan het systeem toegevoegd.
531,error_bodies_ARRAY_ARM04,The room could not be added successfully. Please try again.,Het toevoegen van de ruimte is niet gelukt. Probeer het opnieuw.
532,error_bodies_ARRAY_ARM05,"Room could not be added because image size is too large and your server cannot upload it. Maximum allowed size is {SIZE}. Please, upload smaller image.",De ruimte kon niet worden toegevoegd omdat de afbeelding te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload alstublieft een kleinere afbeelding.
533,error_bodies_ARRAY_ARM06,"The room could not be updated successfully because image size is too large and your server cannot upload it. Maximum allowed size is {SIZE}. Please, upload smaller image.",De ruimte kon niet succesvol worden bijgewerkt omdat de afbeelding te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload alstublieft een kleinere afbeelding.
534,error_bodies_ARRAY_ARM08,The room you are looking for is missing.,"De ruimte die u zoekt, is niet beschikbaar."
535,error_bodies_ARRAY_ARM09,Room was added but image was not uploaded because it is too large.,"De ruimte is toegevoegd, maar de afbeelding is niet ge¸pload omdat deze te groot is."
536,error_bodies_ARRAY_ARM10,"The room has been updated, but image could not be uploaded successfully because it is too large.","De ruimte is bijgewerkt, maar de afbeelding kon niet succesvol worden ge¸pload omdat deze te groot is."
537,error_bodies_ARRAY_AT01,All the changes made to working time have been saved.,Alle wijzigingen in de werktijd zijn opgeslagen.
538,error_bodies_ARRAY_AT02,All the changes made to custom working time have been saved.,Alle wijzigingen die zijn aangebracht in de aangepaste werktijden zijn opgeslagen.
539,error_bodies_ARRAY_AT03,All the changes made to custom working time have been saved.,Alle wijzigingen die zijn aangebracht in de aangepaste werktijden zijn opgeslagen.
540,error_bodies_ARRAY_AT04,"Different working time can be set for each day of the week. You can also set days off, morning period, and afternoon period.","Je kunt voor elke dag van de week verschillende werktijden instellen. Je kunt ook vrije dagen, een middagperiode en een avondperiode instellen."
541,error_bodies_ARRAY_AT05,"Using the form below, you can set a custom working time for any date. You can also mark the date as a day-off and bookings on that date will not be accepted.",Met onderstaand formulier kunt u voor elke datum een ??aangepaste werktijd instellen. U kunt de datum ook als vrije dag markeren. Reserveringen op die datum worden niet geaccepteerd.
542,error_bodies_ARRAY_AU01,All the changes made to this user have been saved.,"Alle wijzigingen die voor deze gebruiker zijn aangebracht, zijn opgeslagen."
543,error_bodies_ARRAY_AU03,All the changes made to this user have been saved.,"Alle wijzigingen die voor deze gebruiker zijn aangebracht, zijn opgeslagen."
544,error_bodies_ARRAY_AU04,"We are sorry, but the user has not been added.","Het spijt ons, maar de gebruiker is niet toegevoegd."
545,error_bodies_ARRAY_AU08,User your looking for is missing.,"De gebruiker die u zoekt, is niet beschikbaar."
546,error_titles_ARRAY_AA10,Account not found!,Account niet gevonden!
547,error_titles_ARRAY_AA11,Password send!,Wachtwoord verzonden!
548,error_titles_ARRAY_AA12,Password not send!,Wachtwoord niet verzonden!
549,error_titles_ARRAY_AA13,Profile updated!,Profiel bijgewerkt!
550,error_titles_ARRAY_AB01,Backup,Back-up
551,error_titles_ARRAY_AB02,Backup complete!,Back-up voltooid!
552,error_titles_ARRAY_AB03,Backup failed!,De back-up is mislukt!
553,error_titles_ARRAY_AB04,Backup failed!,De back-up is mislukt!
554,error_titles_ARRAY_AEQ01,Equipment updated!,Apparatuur vernieuwd!
555,error_titles_ARRAY_AEQ03,Equipment added!,Apparatuur toegevoegd!
556,error_titles_ARRAY_AEQ04,Equipment failed to add!,Het apparaat kon niet worden toegevoegd!
557,error_titles_ARRAY_AEQ08,Equipment not found!,Apparaat niet gevonden!
558,error_titles_ARRAY_AFD01,Food or drink updated!,Eten en drinken vernieuwd!
559,error_titles_ARRAY_AFD03,Food or drink added!,Eten en drinken toegevoegd!
560,error_titles_ARRAY_AFD04,Food or drink failed to add!,Eten en drinken kon niet worden toegevoegd!
561,error_titles_ARRAY_AFD08,Food or drink not found!,Eten en drinken niet gevonden!
562,error_titles_ARRAY_ALY01,Room layout updated!,Ruimte indeling vernieuwd!
563,error_titles_ARRAY_ALY03,Room layout added!,Ruimte indeling toegevoegd!
564,error_titles_ARRAY_ALY04,Room layout failed to add!,Ruimte indeling kon niet worden toegevoegd!
565,error_titles_ARRAY_ALY05,Image size too large,Afbeeldingsgrootte te groot
566,error_titles_ARRAY_ALY06,Image size too large,Afbeeldingsgrootte te groot
567,error_titles_ARRAY_ALY08,Room layout not found!,Ruimte indeling niet gevonden!
568,error_titles_ARRAY_ALY09,Upload error,Uploadfout
569,error_titles_ARRAY_ALY10,Upload error,Uploadfout
570,error_titles_ARRAY_AO01,Options updated!,Opties bijgewerkt!
571,error_titles_ARRAY_AO02,Booking options updated!,Reserveringsopties vernieuwd!
572,error_titles_ARRAY_AO03,Notifications updated!,Meldingen vernieuwd!
573,error_titles_ARRAY_AO04,Booking form updated!,Het reserveringsformulier is vernieuwd!
574,error_titles_ARRAY_AO05,Terms and conditions updated,Algemene voorwaarden vernieuwd!
575,error_titles_ARRAY_AR01,Booking updated!,Reservering vernieuwd!
576,error_titles_ARRAY_AR03,Booking added!,Reservering toegevoegd!
577,error_titles_ARRAY_AR04,Booking not added!,Reservering kon niet worden toegevoegd!
578,error_titles_ARRAY_AR08,Booking not found!,Reservering niet gevonden!
579,error_titles_ARRAY_ARM01,Room updated!,Ruimte vernieuwd!
580,error_titles_ARRAY_ARM03,Room added!,Ruimte toegevoegd!
581,error_titles_ARRAY_ARM04,Room failed to add!,Ruimte kon niet worden gevonden!
582,error_titles_ARRAY_ARM05,Image size too large,Afbeeldingsgrootte te groot
583,error_titles_ARRAY_ARM06,Image size too large,Afbeeldingsgrootte te groot
584,error_titles_ARRAY_ARM08,Room not found!,Ruimte niet gevonden!
585,error_titles_ARRAY_ARM09,Upload error,Uploadfout
586,error_titles_ARRAY_ARM10,Upload error,Uploadfout
587,error_titles_ARRAY_AT01,Working time updated!,Werktijden vernieuwd!
588,error_titles_ARRAY_AT02,Custom Working time saved!,Bespaar tijd met maatwerk!
589,error_titles_ARRAY_AT03,Custom Working time updated!,Aangepaste werktijd vernieuwd!
590,error_titles_ARRAY_AT04,Working time,Werktijd
591,error_titles_ARRAY_AT05,Custom working time,Aangepaste werktijd
592,error_titles_ARRAY_AU01,User updated!,Gebruiker heeft de update vernieuwd!
593,error_titles_ARRAY_AU03,User added!,Gebruiker toegevoegd!
594,error_titles_ARRAY_AU04,User failed to add.,Gebruiker kon niet worden gevonden!
595,error_titles_ARRAY_AU08,User not found.,Gebruiker niet gevonden!
596,filter_ARRAY_active,Active,Aktief
597,filter_ARRAY_inactive,Inactive,Inaktief
598,front_booking_statuses_ARRAY_0,Please wait while redirect to secure payment processor webpage complete...,Even geduld a.u.b. totdat de doorverwijzing naar de beveiligde betaalpagina is voltooid.
599,front_booking_statuses_ARRAY_1,"Thank you for your reservation! Please, click on the button below if you wish to make another booking.",Bedankt voor uw reservering! Klik op de onderstaande knop als u nog een reservering wilt maken.
600,front_booking_statuses_ARRAY_2,Reservation saved. You will be taken to PayPal.com to process payment. Please wait...,Reservering opgeslagen. U wordt doorgestuurd naar PayPal.com om de betaling te verwerken. Even geduld alstublieft... 
601,front_booking_statuses_ARRAY_3,Reservation saved. You will be taken to Authorize.net to process payment. Please wait...,Reservering opgeslagen. U wordt doorgestuurd naar Authorize.net om de betaling te verwerken. Even geduld alstublieft?
602,login_err_ARRAY_1,Wrong username or password,Verkeerde gebruikersnaam of wachtwoord
603,login_err_ARRAY_2,Access denied,Toegang geweigerd
604,login_err_ARRAY_3,Account is disabled,Account is uitgeschakeld
605,months_ARRAY_1,January,Januari
606,months_ARRAY_10,October,Oktober
607,months_ARRAY_11,November,November
608,months_ARRAY_12,December,December
609,months_ARRAY_2,February,Februari
610,months_ARRAY_3,March,Maart
611,months_ARRAY_4,April,April
612,months_ARRAY_5,May,Mei
613,months_ARRAY_6,June,Juni
614,months_ARRAY_7,July,Juli
615,months_ARRAY_8,August,Augustus
616,months_ARRAY_9,September,September
617,option_themes_ARRAY_1,Theme 1,Thema 1
618,option_themes_ARRAY_10,Theme 10,Thema 10
619,option_themes_ARRAY_2,Theme 2,Thema 2
620,option_themes_ARRAY_3,Theme 3,Thema 3
621,option_themes_ARRAY_4,Theme 4,Thema 4
622,option_themes_ARRAY_5,Theme 5,Thema 5
623,option_themes_ARRAY_6,Theme 6,Thema 6
624,option_themes_ARRAY_7,Theme 7,Thema 7
625,option_themes_ARRAY_8,Theme 8,Thema 8
626,option_themes_ARRAY_9,Theme 9,Thema 9
627,order_arr_ARRAY_capacity_SORT_ASC,Capacity (low to high),Capaciteit (laag tot hoog)
628,order_arr_ARRAY_capacity_SORT_DESC,Capacity (high to low),Capaciteit (hoog tot laag)
629,order_arr_ARRAY_price_per_day_SORT_ASC,Daily Price (low to high),Dag prijs (laag tot hoog)
630,order_arr_ARRAY_price_per_day_SORT_DESC,Daily Price (high to low),Dag prijs (hoog tot laag)
631,order_arr_ARRAY_price_per_hour_SORT_ASC,Hourly Price (low to high),Uur prijs (laag tot hoog)
632,order_arr_ARRAY_price_per_hour_SORT_DESC,Hourly Price (high to low),Uur prijs (hoog tot laag)
633,payment_methods_ARRAY_authorize,Authorize.Net,Authorize.Net
634,payment_methods_ARRAY_bank,Wire transfer,Bankoverschrijving
635,payment_methods_ARRAY_cash,Cash,Contant
636,payment_methods_ARRAY_creditcard,Credit card,Credit card
637,payment_methods_ARRAY_paypal,PayPal,PayPal
638,personal_titles_ARRAY_dr,Dr.,De heer.
639,personal_titles_ARRAY_miss,Miss,Mejuffrouw.
640,personal_titles_ARRAY_mr,Mr.,Meneer.
641,personal_titles_ARRAY_mrs,Mrs.,Mevrouw.
642,personal_titles_ARRAY_ms,Ms.,Mevrouw.
643,personal_titles_ARRAY_other,Other,Anders.
644,personal_titles_ARRAY_prof,Prof.,Professor.
645,personal_titles_ARRAY_rev,Rev.,Eerwaarde.
646,price_per_ARRAY_day,Price per day,Prijs per dag
647,price_per_ARRAY_half,Price half-day,Prijs per halve dag
648,price_per_ARRAY_hour,Price per hour,Prijs per uur
649,role_arr_ARRAY_1,Administrator,Administratie
650,role_arr_ARRAY_2,Editor,Maker
651,short_days_ARRAY_0,Su,Zo
652,short_days_ARRAY_1,Mo,Ma
653,short_days_ARRAY_2,Tu,Di
654,short_days_ARRAY_3,We,Wo
655,short_days_ARRAY_4,Th,Do
656,short_days_ARRAY_5,Fr,Vr
657,short_days_ARRAY_6,Sa,Za
658,short_months_ARRAY_1,Jan,Jan
659,short_months_ARRAY_10,Oct,Okt
660,short_months_ARRAY_11,Nov,Nov
661,short_months_ARRAY_12,Dec,Dec
662,short_months_ARRAY_2,Feb,Feb
663,short_months_ARRAY_3,Mar,Ma
664,short_months_ARRAY_4,Apr,Ap
665,short_months_ARRAY_5,May,Mei
666,short_months_ARRAY_6,Jun,Jun
667,short_months_ARRAY_7,Jul,Jul
668,short_months_ARRAY_8,Aug,Aug
669,short_months_ARRAY_9,Sep,Sep
670,status_ARRAY_1,You are not loged in.,Je bent niet ingelogd.
671,status_ARRAY_123,Your hosting account does not allow uploading such a large image.,Uw hostingaccount staat het uploaden van zo'n grote afbeelding niet toe.
672,status_ARRAY_2,Access denied. You have not requisite rights to.,Toegang geweigerd. U beschikt niet over de vereiste rechten.
673,status_ARRAY_3,Empty resultset.,Lege resultatenset.
674,status_ARRAY_7,The operation is not allowed in demo mode.,Deze handeling is niet toegestaan ??in de demomodus.
675,status_ARRAY_996,No property for the booking found,Geen ruimte gevonden voor de reservering
676,status_ARRAY_997,No booking found,Reservering niet gevonden
677,status_ARRAY_998,No permisions to edit the booking,Geen toestemming om de reservering te wijzigen
678,status_ARRAY_999,No permisions to edit the property,Geen rechten om de ruimte te bewerken.
679,status_ARRAY_9997,E-Mail address already exist,Het e-mailadres bestaat al.
680,status_ARRAY_9998,Your registration was successfull. Your account needs to be approved.,Je registratie is gelukt. Je account moet nog worden goedgekeurd.
681,status_ARRAY_9999,Your registration was successfull.,Je registratie is succesvol verlopen.
682,timezones_ARRAY_-10800,GMT-03:00,GMT-03:00
683,timezones_ARRAY_-14400,GMT-04:00,GMT-04:00
684,timezones_ARRAY_-18000,GMT-05:00,GMT-05:00
685,timezones_ARRAY_-21600,GMT-06:00,GMT-06:00
686,timezones_ARRAY_-25200,GMT-07:00,GMT-07:00
687,timezones_ARRAY_-28800,GMT-08:00,GMT-08:00
688,timezones_ARRAY_-32400,GMT-09:00,GMT-09:00
689,timezones_ARRAY_-3600,GMT-01:00,GMT-01:00
690,timezones_ARRAY_-36000,GMT-10:00,GMT-10:00
691,timezones_ARRAY_-39600,GMT-11:00,GMT-11:00
692,timezones_ARRAY_-43200,GMT-12:00,GMT-12:00
693,timezones_ARRAY_-7200,GMT-02:00,GMT-02:00
694,timezones_ARRAY_0,GMT,GMT
695,timezones_ARRAY_10800,GMT+03:00,GMT+03:00
696,timezones_ARRAY_14400,GMT+04:00,GMT+04:00
697,timezones_ARRAY_18000,GMT+05:00,GMT+05:00
698,timezones_ARRAY_21600,GMT+06:00,GMT+06:00
699,timezones_ARRAY_25200,GMT+07:00,GMT+07:00
700,timezones_ARRAY_28800,GMT+08:00,GMT+08:00
701,timezones_ARRAY_32400,GMT+09:00,GMT+09:00
702,timezones_ARRAY_3600,GMT+01:00,GMT+01:00
703,timezones_ARRAY_36000,GMT+10:00,GMT+10:00
704,timezones_ARRAY_39600,GMT+11:00,GMT+11:00
705,timezones_ARRAY_43200,GMT+12:00,GMT+12:00
706,timezones_ARRAY_46800,GMT+13:00,GMT+13:00
707,timezones_ARRAY_7200,GMT+02:00,GMT+02:00
708,u_statarr_ARRAY_F,Inactive,Inaktief
709,u_statarr_ARRAY_T,Active,Aktief
710,_yesno_ARRAY_F,No,Nee
711,_yesno_ARRAY_T,Yes,Ja
712,lblRoomBookedAtDate,Room is not available at selected date,De ruimte is niet beschikbaar op de geselecteerde datum.
713,pj_attendees_validation,Attendees count should not exceed room capacity.,Het aantal aanwezigen mag de zaalcapaciteit niet overschrijden.
714,front_max_attendees_valid,Attendees count should not exceed room capacity.,Het aantal aanwezigen mag de zaalcapaciteit niet overschrijden.
715,front_incorrect_captcha,Captcha is not correct.,De captcha is niet correct.
716,front_date_in_range_booked,Date in the range is already booked.,De datum in het aangegeven bereik is al volgeboekt.
717,plugin_locale_languages,Languages,Talenmenu
718,plugin_locale_titles,Translate,Vertalen
719,plugin_locale_index_title,Languages,Landen
720,plugin_locale_index_body,Add as many languages as you need to your script. For each of the languages added you need to translate all the text titles.,Voeg zoveel talen toe aan je script als je nodig hebt. Voor elke toegevoegde taal moet je alle teksttitels vertalen.
721,plugin_locale_titles_title,Titles,Titels
722,plugin_locale_titles_body,"Using the form below you can edit all the text in the software.<br /><br />Each piece of text used in the software is saved in the database and has its own unique ID. In the first column below you can see the ID for each piece of text. To show these IDs in the script itself check the ""Show IDs"" checkbox and click Save button next to it. This will show the corresponding :ID: for each text message. Please, note that ONLY you will see these IDs. Now you can search for any ID and easily change and/or translate the text. Have in mind that you should use : before and after the ID when you search for it.  <br /><br />Check our <a target=""_blank"" href=""http://www.phpjabbers.com/knowledgebase/other"">knowledgebase</a> and watch video tutorial how to change and/or translate the text.","Met behulp van het onderstaande formulier kunt u alle tekst in de software bewerken.<br /><br />Elk stuk tekst dat in de software wordt gebruikt, wordt opgeslagen in de database en heeft zijn eigen unieke ID. In de eerste kolom hieronder ziet u voor elk stukje tekst het ID. Om deze ID's in het script zelf weer te geven, vinkt u het selectievakje ""ID's weergeven"" aan en klikt u op de knop Opslaan ernaast. Hierdoor wordt voor elk sms-bericht de bijbehorende :ID: weergegeven. Houd er rekening mee dat ALLEEN u deze ID's ziet. Nu kunt u naar elk ID zoeken en de tekst eenvoudig wijzigen en/of vertalen. Houd er rekening mee dat u het volgende moet gebruiken: voor en na de ID wanneer u ernaar zoekt. <br /><br />Bekijk onze <a target=""_blank"" href=""http://www.phpjabbers.com/knowledgebase/other"">knowledgebase</a> (kennisbank) en bekijk een video-tutorial over hoe u de tekst kunt wijzigen en/of vertalen."
723,plugin_locale_lbl_title,Title,Titel
724,plugin_locale_lbl_flag,Flag,Vlag
725,plugin_locale_lbl_is_default,Is default,Standaard
726,plugin_locale_lbl_order,Order,Bestelling niet gevonden!
727,plugin_locale_add_lang,Add Language,Taal toevoegen
728,plugin_locale_lbl_field,Field,Veldtype
729,plugin_locale_lbl_value,Value,Waarde
730,plugin_locale_type_backend,Back-end title,Back-end titel
731,plugin_locale_type_frontend,Front-end title,Front-end titel
732,plugin_locale_type_arrays,Special title,Speciale titel
733,error_titles_ARRAY_PAL01,Titles Updated,Titel vernieuwd
734,error_bodies_ARRAY_PAL01,All the changes made to titles have been saved.,Alle wijzigingen in de titels zijn opgeslagen.
735,plugin_locale_lbl_rows,Per page,Per pagina
736,error_titles_ARRAY_PAL02,Import error,Importfout
737,error_bodies_ARRAY_PAL02,Import failed due missing parameters.,Importeren mislukt vanwege ontbrekende parameters.
738,error_titles_ARRAY_PAL03,Import complete,Import voltooid
739,error_bodies_ARRAY_PAL03,The import was performed successfully.,De import is succesvol verlopen.
740,error_titles_ARRAY_PAL04,Import error,Importfout
741,error_bodies_ARRAY_PAL04,Import failed due empty data.,Importeren mislukt vanwege ontbrekende gegevens.
742,error_titles_ARRAY_PAL05,Import error,Importfout
743,error_bodies_ARRAY_PAL05,Import failed because file cannot be open.,Importeren is mislukt omdat het bestand niet geopend kan worden.
744,plugin_locale_import_export,Import / Export,Import / Export
745,plugin_locale_import,Import,Import
746,plugin_locale_export,Export,Export
747,plugin_locale_browse,Browse your computer,Blader door uw computer
748,plugin_locale_ie_title,Import / Export,Import / Export
