id,key,1::English (United Kingdom)
531,error_bodies_ARRAY_ARM04,Het toevoegen van de ruimte is niet gelukt. Probeer het opnieuw.
532,error_bodies_ARRAY_ARM05,De ruimte kon niet worden toegevoegd omdat de afbeelding te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload alstublieft een kleinere afbeelding.
533,error_bodies_ARRAY_ARM06,De ruimte kon niet succesvol worden bijgewerkt omdat de afbeelding te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload alstublieft een kleinere afbeelding.
534,error_bodies_ARRAY_ARM08,"De ruimte die u zoekt, is niet beschikbaar."
535,error_bodies_ARRAY_ARM09,"De ruimte is toegevoegd, maar de afbeelding is niet doorgevoerd omdat deze te groot is."
536,error_bodies_ARRAY_ARM10,"De ruimte is bijgewerkt, maar de afbeelding kon niet succesvol worden doorgevoerd omdat deze te groot is."
537,error_bodies_ARRAY_AT01,Alle wijzigingen in de werktijd zijn opgeslagen.
538,error_bodies_ARRAY_AT02,Alle wijzigingen die zijn aangebracht in de aangepaste werktijden zijn opgeslagen.
539,error_bodies_ARRAY_AT03,Alle wijzigingen die zijn aangebracht in de aangepaste werktijden zijn opgeslagen.
540,error_bodies_ARRAY_AT04,"Je kunt voor elke dag van de week verschillende werktijden instellen. Je kunt ook vrije dagen, een middagperiode en een avondperiode instellen."
541,error_bodies_ARRAY_AT05,Met onderstaand formulier kunt u voor elke datum een aangepaste werktijd instellen. U kunt de datum ook als vrije dag markeren. Aanvragen op die datum worden niet geaccepteerd.
542,error_bodies_ARRAY_AU01,"Alle wijzigingen die voor deze gebruiker zijn aangebracht, zijn opgeslagen."
543,error_bodies_ARRAY_AU03,"Alle wijzigingen die voor deze gebruiker zijn aangebracht, zijn opgeslagen."
544,error_bodies_ARRAY_AU04,"Het spijt ons, maar de gebruiker is niet toegevoegd."
545,error_bodies_ARRAY_AU08,"De gebruiker die u zoekt, is niet beschikbaar."
546,error_titles_ARRAY_AA10,Account niet gevonden!
547,error_titles_ARRAY_AA11,Wachtwoord verzonden!
548,error_titles_ARRAY_AA12,Wachtwoord niet verzonden!
549,error_titles_ARRAY_AA13,Profiel bijgewerkt!
550,error_titles_ARRAY_AB01,Back-up
551,error_titles_ARRAY_AB02,Back-up voltooid!
552,error_titles_ARRAY_AB03,De back-up is mislukt!
553,error_titles_ARRAY_AB04,De back-up is mislukt!
554,error_titles_ARRAY_AEQ01,Apparatuur vernieuwd!
555,error_titles_ARRAY_AEQ03,Apparatuur toegevoegd!
556,error_titles_ARRAY_AEQ04,Het apparaat kon niet worden toegevoegd!
557,error_titles_ARRAY_AEQ08,Apparaat niet gevonden!
558,error_titles_ARRAY_AFD01,Eten en drinken vernieuwd!
559,error_titles_ARRAY_AFD03,Eten en drinken toegevoegd!
560,error_titles_ARRAY_AFD04,Eten en drinken kon niet worden toegevoegd!
561,error_titles_ARRAY_AFD08,Eten en drinken niet gevonden!
562,error_titles_ARRAY_ALY01,Ruimte indeling vernieuwd!
563,error_titles_ARRAY_ALY03,Ruimte indeling toegevoegd!
564,error_titles_ARRAY_ALY04,Ruimte indeling kon niet worden toegevoegd!
565,error_titles_ARRAY_ALY05,Afbeelding grootte te groot
566,error_titles_ARRAY_ALY06,Afbeelding grootte te groot
567,error_titles_ARRAY_ALY08,Ruimte indeling niet gevonden!
568,error_titles_ARRAY_ALY09,Uploadfout
569,error_titles_ARRAY_ALY10,Uploadfout
570,error_titles_ARRAY_AO01,Opties bijgewerkt!
571,error_titles_ARRAY_AO02,Aanvraag opties vernieuwd!
572,error_titles_ARRAY_AO03,Meldingen vernieuwd!
573,error_titles_ARRAY_AO04,Het aanvraag formulier is vernieuwd!
574,error_titles_ARRAY_AO05,Algemene voorwaarden vernieuwd!
575,error_titles_ARRAY_AR01,Aanvraag vernieuwd!
576,error_titles_ARRAY_AR03,Aanvraag toegevoegd!
577,error_titles_ARRAY_AR04,Aanvraag kon niet worden toegevoegd!
578,error_titles_ARRAY_AR08,Aanvraag niet gevonden!
579,error_titles_ARRAY_ARM01,Ruimte vernieuwd!
580,error_titles_ARRAY_ARM03,Ruimte toegevoegd!
581,error_titles_ARRAY_ARM04,Ruimte kon niet worden gevonden!
582,error_titles_ARRAY_ARM05,Afbeelding grootte te groot
583,error_titles_ARRAY_ARM06,Afbeelding grootte te groot
584,error_titles_ARRAY_ARM08,Ruimte niet gevonden!
585,error_titles_ARRAY_ARM09,Uploadfout
586,error_titles_ARRAY_ARM10,Uploadfout
587,error_titles_ARRAY_AT01,Werktijden vernieuwd!
588,error_titles_ARRAY_AT02,Bespaar tijd met maatwerk!
589,error_titles_ARRAY_AT03,Aangepaste werktijd vernieuwd!
590,error_titles_ARRAY_AT04,Werktijd
591,error_titles_ARRAY_AT05,Aangepaste werktijd
592,error_titles_ARRAY_AU01,Gebruiker heeft de update vernieuwd!
593,error_titles_ARRAY_AU03,Gebruiker toegevoegd!
594,error_titles_ARRAY_AU04,Gebruiker kon niet worden gevonden!
595,error_titles_ARRAY_AU08,Gebruiker niet gevonden!
596,filter_ARRAY_active,Actief
597,filter_ARRAY_inactive,Inactief
598,front_booking_statuses_ARRAY_0,Even geduld a.u.b. totdat de doorverwijzing naar de beveiligde betaalpagina is voltooid.
599,front_booking_statuses_ARRAY_1,Bedankt voor uw aanvraag! Klik op de onderstaande knop als u nog een aanvraag wilt maken.
600,front_booking_statuses_ARRAY_2,Aanvraag opgeslagen. U wordt doorgestuurd naar PayPal.com om de betaling te verwerken. Even geduld alstublieft... 
601,front_booking_statuses_ARRAY_3,Aanvraag opgeslagen. U wordt doorgestuurd naar Authorize.net om de betaling te verwerken. Even geduld alstublieft?
602,login_err_ARRAY_1,Verkeerde gebruikersnaam of wachtwoord
603,login_err_ARRAY_2,Toegang geweigerd
604,login_err_ARRAY_3,Account is uitgeschakeld
605,months_ARRAY_1,Januari
606,months_ARRAY_10,Oktober
607,months_ARRAY_11,November
608,months_ARRAY_12,December
609,months_ARRAY_2,Februari
610,months_ARRAY_3,Maart
611,months_ARRAY_4,April
612,months_ARRAY_5,Mei
613,months_ARRAY_6,Juni
614,months_ARRAY_7,Juli
615,months_ARRAY_8,Augustus
616,months_ARRAY_9,September
617,option_themes_ARRAY_1,Thema 1
618,option_themes_ARRAY_10,Thema 10
619,option_themes_ARRAY_2,Thema 2
620,option_themes_ARRAY_3,Thema 3
621,option_themes_ARRAY_4,Thema 4
622,option_themes_ARRAY_5,Thema 5
623,option_themes_ARRAY_6,Thema 6
624,option_themes_ARRAY_7,Thema 7
625,option_themes_ARRAY_8,Thema 8
626,option_themes_ARRAY_9,Thema 9
627,order_arr_ARRAY_capacity_SORT_ASC,Capaciteit (laag tot hoog)
628,order_arr_ARRAY_capacity_SORT_DESC,Capaciteit (hoog tot laag)
629,order_arr_ARRAY_price_per_day_SORT_ASC,Prijs per dag (laag tot hoog)
630,order_arr_ARRAY_price_per_day_SORT_DESC,Prijs per dag (hoog tot laag)
631,order_arr_ARRAY_price_per_hour_SORT_ASC,Prijs per dagdeel (laag tot hoog)
632,order_arr_ARRAY_price_per_hour_SORT_DESC,Prijs per dagdeel (hoog tot laag)
633,payment_methods_ARRAY_authorize,Authorize.Net
634,payment_methods_ARRAY_bank,Bankoverschrijving
635,payment_methods_ARRAY_cash,Contant
636,payment_methods_ARRAY_creditcard,Credit card
637,payment_methods_ARRAY_paypal,PayPal
638,personal_titles_ARRAY_dr,De heer.
639,personal_titles_ARRAY_miss,Mejuffrouw.
640,personal_titles_ARRAY_mr,Meneer.
641,personal_titles_ARRAY_mrs,Mevrouw.
642,personal_titles_ARRAY_ms,Mevrouw.
643,personal_titles_ARRAY_other,Anders.
644,personal_titles_ARRAY_prof,Professor.
645,personal_titles_ARRAY_rev,Eerwaarde.
646,price_per_ARRAY_day,Prijs per dag
647,price_per_ARRAY_half,Prijs per dagdeel
648,price_per_ARRAY_hour,Prijs per uur
649,role_arr_ARRAY_1,Administratie
650,role_arr_ARRAY_2,Maker
651,short_days_ARRAY_0,Zo
652,short_days_ARRAY_1,Ma
653,short_days_ARRAY_2,Di
654,short_days_ARRAY_3,Wo
655,short_days_ARRAY_4,Do
656,short_days_ARRAY_5,Vr
657,short_days_ARRAY_6,Za
658,short_months_ARRAY_1,Jan
659,short_months_ARRAY_10,Okt
660,short_months_ARRAY_11,Nov
661,short_months_ARRAY_12,Dec
662,short_months_ARRAY_2,Feb
663,short_months_ARRAY_3,Ma
664,short_months_ARRAY_4,Ap
665,short_months_ARRAY_5,Mei
666,short_months_ARRAY_6,Jun
667,short_months_ARRAY_7,Jul
668,short_months_ARRAY_8,Aug
669,short_months_ARRAY_9,Sep
670,status_ARRAY_1,Je bent niet ingelogd.
671,status_ARRAY_123,Uw hosting account staat het uploaden van zo'n grote afbeelding niet toe.
672,status_ARRAY_2,Toegang geweigerd. U beschikt niet over de vereiste rechten.
673,status_ARRAY_3,Lege resultaten set.
674,status_ARRAY_7,Deze handeling is niet toegestaan in de demomodus.
675,status_ARRAY_996,Geen ruimte gevonden voor de aanvraag
676,status_ARRAY_997,Aanvraag niet gevonden
677,status_ARRAY_998,Geen toestemming om de aanvraag te wijzigen
678,status_ARRAY_999,Geen rechten om de ruimte te bewerken.
679,status_ARRAY_9997,Het e-mailadres bestaat al.
680,status_ARRAY_9998,Je registratie is gelukt. Je account moet nog worden goedgekeurd.
681,status_ARRAY_9999,Je registratie is succesvol verlopen.
682,timezones_ARRAY_-10800,GMT-03:00
683,timezones_ARRAY_-14400,GMT-04:00
684,timezones_ARRAY_-18000,GMT-05:00
685,timezones_ARRAY_-21600,GMT-06:00
686,timezones_ARRAY_-25200,GMT-07:00
687,timezones_ARRAY_-28800,GMT-08:00
688,timezones_ARRAY_-32400,GMT-09:00
689,timezones_ARRAY_-3600,GMT-01:00
690,timezones_ARRAY_-36000,GMT-10:00
691,timezones_ARRAY_-39600,GMT-11:00
692,timezones_ARRAY_-43200,GMT-12:00
693,timezones_ARRAY_-7200,GMT-02:00
694,timezones_ARRAY_0,GMT
695,timezones_ARRAY_10800,GMT+03:00
696,timezones_ARRAY_14400,GMT+04:00
697,timezones_ARRAY_18000,GMT+05:00
698,timezones_ARRAY_21600,GMT+06:00
699,timezones_ARRAY_25200,GMT+07:00
700,timezones_ARRAY_28800,GMT+08:00
701,timezones_ARRAY_32400,GMT+09:00
702,timezones_ARRAY_3600,GMT+01:00
703,timezones_ARRAY_36000,GMT+10:00
704,timezones_ARRAY_39600,GMT+11:00
705,timezones_ARRAY_43200,GMT+12:00
706,timezones_ARRAY_46800,GMT+13:00
707,timezones_ARRAY_7200,GMT+02:00
708,u_statarr_ARRAY_F,Inactief
709,u_statarr_ARRAY_T,Actief
710,_yesno_ARRAY_F,Nee
711,_yesno_ARRAY_T,Ja
712,lblRoomBookedAtDate,De ruimte is niet beschikbaar op de geselecteerde datum.
713,pj_attendees_validation,Het aantal aanwezigen mag de zaalcapaciteit niet overschrijden.
714,front_max_attendees_valid,Het aantal aanwezigen mag de zaalcapaciteit niet overschrijden.
715,front_incorrect_captcha,De Captcha is niet correct.
716,front_date_in_range_booked,De datum in het aangegeven bereik is al volgeboekt.
717,plugin_locale_languages,Talenmenu
718,plugin_locale_titles,Vertalen
719,plugin_locale_index_title,Landen
720,plugin_locale_index_body,Voeg zoveel talen toe aan je script als je nodig hebt. Voor elke toegevoegde taal moet je alle teksttitels vertalen.
721,plugin_locale_titles_title,Titels
722,plugin_locale_titles_body,"Met behulp van het onderstaande formulier kunt u alle tekst in de software bewerken.<br /><br />Elk stuk tekst dat in de software wordt gebruikt, wordt opgeslagen in de database en heeft zijn eigen unieke ID. In de eerste kolom hieronder ziet u voor elk stukje tekst het ID. Om deze ID's in het script zelf weer te geven, vinkt u het selectievakje ""ID's weergeven"" aan en klikt u op de knop Opslaan ernaast. Hierdoor wordt voor elk sms-bericht de bijbehorende :ID: weergegeven. Houd er rekening mee dat ALLEEN u deze ID's ziet. Nu kunt u naar elk ID zoeken en de tekst eenvoudig wijzigen en/of vertalen. Houd er rekening mee dat u het volgende moet gebruiken: voor en na de ID wanneer u ernaar zoekt. <br /><br />Bekijk onze <a target=""_blank"" href=""http://www.phpjabbers.com/knowledgebase/other"">knowledgebase</a> (kennisbank) en bekijk een video-tutorial over hoe u de tekst kunt wijzigen en/of vertalen."
723,plugin_locale_lbl_title,Titel
724,plugin_locale_lbl_flag,Vlag
725,plugin_locale_lbl_is_default,Standaard
726,plugin_locale_lbl_order,Bestelling niet gevonden!
727,plugin_locale_add_lang,Taal toevoegen
728,plugin_locale_lbl_field,Veldtype
729,plugin_locale_lbl_value,Waarde
730,plugin_locale_type_backend,Back-end titel
731,plugin_locale_type_frontend,Front-end titel
732,plugin_locale_type_arrays,Speciale titel
733,error_titles_ARRAY_PAL01,Titel vernieuwd
734,error_bodies_ARRAY_PAL01,Alle wijzigingen in de titels zijn opgeslagen.
735,plugin_locale_lbl_rows,Per pagina
736,error_titles_ARRAY_PAL02,Importfout
737,error_bodies_ARRAY_PAL02,Importeren mislukt vanwege ontbrekende parameters.
738,error_titles_ARRAY_PAL03,Import voltooid
739,error_bodies_ARRAY_PAL03,De import is succesvol verlopen.
740,error_titles_ARRAY_PAL04,Importfout
741,error_bodies_ARRAY_PAL04,Importeren mislukt vanwege ontbrekende gegevens.
742,error_titles_ARRAY_PAL05,Importfout
743,error_bodies_ARRAY_PAL05,Importeren is mislukt omdat het bestand niet geopend kan worden.
744,plugin_locale_import_export,Import / Export
745,plugin_locale_import,Import
746,plugin_locale_export,Export
747,plugin_locale_browse,Blader door uw computer
748,plugin_locale_ie_title,Import / Export
749,plugin_locale_ie_body,Gebruik onderstaand formulier om een CSV-bestand met alle titels te importeren of exporteren. Wijzig de eerste rij en de eerste en tweede kolom in het CSV-bestand niet.
750,plugin_locale_lbl_id,ID:
751,plugin_locale_lbl_show_id,Toon ID's
752,plugin_locale_separator,Scheidingsteken
753,plugin_locale_separators_ARRAY_comma,Komma
754,plugin_locale_separators_ARRAY_semicolon,Puntkomma
755,plugin_locale_separators_ARRAY_tab,Tab
756,error_bodies_ARRAY_PAL20,De volgende talen zijn gevonden. Selecteer de talen die u wilt importeren.
757,error_titles_ARRAY_PAL20,Importbevestiging
758,error_titles_ARRAY_PAL11,Importeren mislukt
759,error_bodies_ARRAY_PAL11,"Ontbrekende, lege of ongeldige parameters."
760,error_titles_ARRAY_PAL12,Importeren mislukt
761,error_bodies_ARRAY_PAL12,Het bestand is niet doorgevoerd
762,error_titles_ARRAY_PAL13,Importeren mislukt
763,error_bodies_ARRAY_PAL13,Het doorgevoerde bestand kan niet worden geopend.
764,error_titles_ARRAY_PAL14,Importeren mislukt
765,error_bodies_ARRAY_PAL14,Er zijn nieuwe regels gevonden.
766,error_titles_ARRAY_PAL15,Importeren mislukt
767,error_bodies_ARRAY_PAL15,Het doorgevoerde bestand bevat niet de benodigde kolommen.
768,error_titles_ARRAY_PAL16,Importeren mislukt
769,error_bodies_ARRAY_PAL16,Het aantal kolommen is niet gelijk in elke rij.
770,error_titles_ARRAY_PAL17,Importeren mislukt
771,error_bodies_ARRAY_PAL17,Ongeldige gegevens gevonden.
772,error_titles_ARRAY_PAL18,Importeren mislukt
773,error_bodies_ARRAY_PAL18,Ontbrekende kolommen.
774,error_titles_ARRAY_PAL19,Importeren mislukt
775,error_bodies_ARRAY_PAL19,Ongeldige gegevens gevonden.
776,plugin_locale_showid_dialog_title,Toon ID's
777,plugin_locale_showid_dialog_desc,Naast elke tekst in de software wordt een ID weergegeven. U kunt vervolgens op een ID zoeken om de tekst eenvoudig te wijzigen of te vertalen. 
778,plugin_locale_button_confirm,Bevestigen
779,plugin_locale_button_cancel,Annuleren
780,plugin_locale_default,Standaard
781,plugin_locale_lbl_dir,Text richting
782,plugin_locale_lbl_fend,Front-end titel
783,plugin_locale_dir_ARRAY_ltr,Van links naar rechts
784,plugin_locale_dir_ARRAY_rtl,Van rechts naar links
785,plugin_locale_flag_reset_title,Vlag opnieuw instellen
786,plugin_locale_flag_reset_content,Weet je zeker dat je de geselecteerde vlag opnieuw wilt instellen?
787,plugin_locale_btn_reset,Opnieuw instellen
788,plugin_locale_tooltip_upload,Klik om te uploaden
789,plugin_locale_tooltip_reset,Klik om opnieuw in te stellen
790,plugin_locale_lbl_language,Taal
791,plugin_locale_btn_close,Sluiten
792,plugin_locale_flag_info_title,Info bericht
793,plugin_locale_error_line,De fout is gevonden op regel: %s
794,plugin_locale_reset_search,Zoekopdracht opnieuw instellen
795,error_titles_ARRAY_PBU01,Back-up
796,error_titles_ARRAY_PBU02,Back-up compleet
797,error_titles_ARRAY_PBU03,De back-up is mislukt!
798,error_titles_ARRAY_PBU04,De back-up is mislukt!
799,error_bodies_ARRAY_PBU01,Wij raden u aan om regelmatig een back-up te maken van uw database en bestanden om gegevensverlies te voorkomen.
800,error_bodies_ARRAY_PBU02,Alle back-up bestanden zijn opgeslagen.
801,error_bodies_ARRAY_PBU03,Er is geen optie geselecteerd.
802,error_bodies_ARRAY_PBU04,Er is geen back-up gemaakt.
803,plugin_backup_menu_backup,Back-up
804,plugin_backup_database,Back-up database
805,plugin_backup_files,Back-up bestanden
806,plugin_backup_btn_backup,Back-up
807,error_titles_ARRAY_PBU05,Back-up mislukt!
808,error_bodies_ARRAY_PBU05,"De back-up map is niet gevonden. Zorg ervoor dat de map ""app/web/backup"" bestaat."
809,error_titles_ARRAY_PBU06,Back-up mislukt!
810,error_bodies_ARRAY_PBU06,"Je moet schrijfrechten (chmod 777) instellen voor de map ""app/web/backup""."
811,plugin_backup_datetime,Datum/tijd
812,plugin_backup_type,Type
813,plugin_backup_file,Bestand
814,plugin_backup_delete_confirmation,Weet je zeker dat je het geselecteerde bestand wilt verwijderen?
815,plugin_backup_delete_selected,Verwijder geselecteerde
816,plugin_backup_size,Grootte
817,plugin_backup_sizeXXXXXX,Grootte XXXX
818,plugin_log_menu_log,Logboek
819,plugin_log_menu_config,Configuratie logboek
820,plugin_log_btn_empty,Maak logboek leeg
821,error_titles_ARRAY_PLG01,Configuratie logboek vernieuwd.
822,error_bodies_ARRAY_PLG01,Het configuratie logboek is bijgewerkt.
823,plugin_one_admin_menu_index,Lijst
824,plugin_one_admin_btn_add,+ Toevoegen
825,error_titles_ARRAY_POA01,Informatie
826,error_bodies_ARRAY_POA01,"Let op: nadat u de scripts in de onderstaande lijst hebt gewijzigd, moet u de pagina vernieuwen om de nieuwe updates in het menu ""One admiN"" toe te passen."
827,plugin_paypal_dt,Datum/tijd
828,plugin_paypal_mc_gross,MC Gross
829,plugin_paypal_mc_currency,MC Valuta
830,plugin_paypal_payer_email,E-mailadres van de betaler
831,plugin_paypal_txn_type,Txn type
832,plugin_paypal_txn_id,Txn ID
833,plugin_paypal_subscr_id,Abonnements-ID
834,plugin_paypal_foreign_id,Buitenlands-ID
835,plugin_paypal_btn_close,Sluiten
836,plugin_paypal_info_title,Transactiegegevens
837,plugin_paypal_btn_view,Bekijken
838,plugin_paypal_menu_ipn,IPN
839,opt_o_paypal_client_id,PayPal klant-ID
840,opt_o_paypal_client_secret,PayPal-klant geheim
841,opt_o_paypal_cancel_url,Annuleer pagina
842,plugin_paypal_payment_title,PayPal betaling
843,plugin_country_name,Landnaam
844,plugin_country_alpha_2,Alpha 2
845,plugin_country_alpha_3,Alpha 3
846,plugin_country_status,Status
847,plugin_country_btn_add,Toevoegen +
848,plugin_country_statuses_ARRAY_T,Actief
849,plugin_country_statuses_ARRAY_F,Inactief
850,plugin_country_btn_save,Opslaan
851,plugin_country_btn_cancel,Annuleren
852,plugin_country_menu_countries,Landen
853,error_titles_ARRAY_PCY01,Land vernieuwd!
854,error_titles_ARRAY_PCY03,Land toegevoegd!
855,error_titles_ARRAY_PCY04,Land kon niet worden toegevoegd!
856,error_titles_ARRAY_PCY08,Land kon niet worden gevonden!
857,error_titles_ARRAY_PCY10,Land toevoegen!
858,error_titles_ARRAY_PCY11,Land vernieuwd!
859,error_titles_ARRAY_PCY12,Land beheren
860,error_bodies_ARRAY_PCY01,Het land is succesvol vernieuwd.
861,error_bodies_ARRAY_PCY03,Het land is succesvol toegevoegd.
862,error_bodies_ARRAY_PCY04,Het land is niet succesvol toegevoegd.
863,error_bodies_ARRAY_PCY08,"Het land dat u zoekt, is niet gevonden."
864,error_bodies_ARRAY_PCY10,Gebruik onderstaand formulier om een land toe te voegen.
865,error_bodies_ARRAY_PCY11,Gebruik onderstaand formulier om een land te vernieuwen.
866,error_bodies_ARRAY_PCY12,Gebruik onderstaand raster om uw landenlijst te ordenen.
867,plugin_country_delete_confirmation,Weet u zeker dat u het geselecteerde land wilt verwijderen?
868,plugin_country_delete_selected,Verwijder geselecteerde
869,plugin_country_btn_all,Alles
870,plugin_country_btn_search,Zoeken
871,plugin_country_revert_status,Status terugzetten
872,plugin_sms_menu_sms,SMS
873,plugin_sms_config,SMS-configuratie
874,plugin_sms_number,Telefoonnummer
875,plugin_sms_text,Bericht
876,plugin_sms_status,Status
877,plugin_sms_created,Datum/tijd verzenden
878,plugin_sms_api,API-sleutel
879,error_titles_ARRAY_PSS01,SMS
880,error_bodies_ARRAY_PSS01,"Om sms'jes te versturen, heb je een geldige API-sleutel van <a href=""https://clicksend.com/?u=366773"" target=""_blank"">ClickSend</a> nodig. Als je er een hebt, voer deze dan in het onderstaande vak in."
881,error_titles_ARRAY_PSS02,De API-sleutel voor sms is bijgewerkt!
882,error_bodies_ARRAY_PSS02,Alle wijzigingen zijn opgeslagen.
883,plugin_sms_reset_search,Zoekopdracht opnieuw instellen
884,plugin_sms_api_username,SMS API-gebruikersnaam
885,plugin_sms_api_key,SMS API-sleutel
886,plugin_sms_statuses_ARRAY_SUCCESS,Bericht verzonden
887,plugin_sms_statuses_ARRAY_MISSING_CREDENTIALS,138 Er is onvoldoende informatie verstrekt voor authenticatie. Zorg ervoor dat u uw gebruikersnaam en unieke sleutel in uw aanvraag vermeldt. 
888,plugin_sms_statuses_ARRAY_ACCOUNT_NOT_ACTIVATED,Je account is nog niet geactiveerd.
889,plugin_sms_statuses_ARRAY_INVALID_RECIPIENT,Het mobiele nummer van de bestemming is ongeldig.
890,plugin_sms_statuses_ARRAY_THROTTLED,Een identiek bericht is onlangs naar dezelfde ontvanger verzonden. Probeer het over een paar seconden opnieuw.
891,plugin_sms_statuses_ARRAY_INVALID_SENDER_ID,Ongeldige afzender-ID. Zorg ervoor dat de afzender-ID niet langer is dan 11 tekens (indien alfanumeriek) en geen spaties bevat.
892,plugin_sms_statuses_ARRAY_INSUFFICIENT_CREDIT,Je hebt je berichten tegoed opgebruikt. Je moet nieuw berichten tegoed kopen.
893,plugin_sms_statuses_ARRAY_INVALID_CREDENTIALS,Uw gebruikersnaam of unieke sleutel is onjuist.
894,plugin_sms_statuses_ARRAY_ALREADY_EXISTS,"De bron die u probeert toe te voegen, bestaat al."
895,plugin_sms_statuses_ARRAY_EMPTY_MESSAGE,Het bericht is leeg.
896,plugin_sms_statuses_ARRAY_TOO_MANY_RECIPIENTS,Te veel ontvangers.
897,plugin_sms_statuses_ARRAY_MISSING_REQUIRED_FIELDS,Sommige verplichte velden ontbreken.
898,plugin_sms_statuses_ARRAY_INVALID_SCHEDULE,"Het opgegeven schema is ongeldig. Gebruik een Unix-tijdstempel, bijvoorbeeld 1429170372."
899,plugin_sms_statuses_NOT_ENOUGH_PERMISSION_TO_LIST_ID,Ik heb onvoldoende rechten om toegang te krijgen tot een lijst-ID of er berichten naar te verzenden.
900,plugin_sms_statuses_ARRAY_INTERNAL_ERROR,Interne fout.
901,plugin_sms_statuses_ARRAY_INVALID_LANG,Er is een ongeldige taaloptie opgegeven.
902,plugin_sms_statuses_ARRAY_INVALID_VOICE,Er is een ongeldige stemoptie (geslacht) opgegeven.
903,plugin_sms_statuses_ARRAY_SUBJECT_REQUIRED,Dit gebeurt meestal wanneer het onderwerp van het MMS-bericht leeg is.
904,plugin_sms_statuses_ARRAY_INVALID_MEDIA_FILE,MMS-mediabestanden zijn doorgaans ongeldig.
905,plugin_sms_statuses_ARRAY_SOMETHING_IS_WRONG,Er is een algemene fout opgetreden.
